,SENT_ID,TOKEN_ID,TOKEN,TOKEN_ORIGIN,TARGET_TYPE1,ARG1,TARGET_TYPE2,ARG2,TARGET_TYPE3,ARG3,TARGET_TYPE4,ARG4
56,3,13,교착상태로,_,_,O,-,-,-,-,-,-
57,3,14,끝났으나,_,_,O,-,-,-,-,-,-
58,3,15,아직도,_,_,O,-,-,-,-,-,-
59,3,16,리빙스턴,_,_,B-Self_mover,-,-,-,-,-,-
60,3,17,의원이,_,_,I-Self_mover,-,-,-,-,-,-
61,3,18,스스로,_,_,B-Manner,-,-,-,-,-,-
62,3,19,물러설,물러서다.v,Quitting_a_place,V,-,-,-,-,-,-
63,3,20,기회는,_,_,O,-,-,-,-,-,-
64,3,21,남겨,_,_,O,-,-,-,-,-,-
65,3,22,둔,_,_,O,-,-,-,-,-,-
66,3,23,것이다.,_,_,O,-,-,-,-,-,-
67,4,0,빌,_,_,B-Cognizer,-,-,-,-,-,-
68,4,1,클린턴,_,_,I-Cognizer,-,-,-,-,-,-
69,4,2,미국,_,_,I-Cognizer,-,-,-,-,-,-
70,4,3,대통령은,_,_,I-Cognizer,-,-,-,-,-,-
71,4,4,16,_,_,B-Time,-,-,-,-,-,-
72,4,5,일,_,_,I-Time,-,-,-,-,-,-
73,4,6,석유수출국기구(OPEC)가,_,_,B-Phenomenon,-,-,-,-,-,-
74,4,7,석유,_,_,I-Phenomenon,-,-,-,-,-,-
75,4,8,및,_,_,I-Phenomenon,-,-,-,-,-,-
76,4,9,천연가스,_,_,I-Phenomenon,-,-,-,-,-,-
77,4,10,가격을,_,_,I-Phenomenon,-,-,-,-,-,-
78,4,11,내리는,_,_,I-Phenomenon,-,-,-,-,-,-
79,4,12,방향으로,_,_,I-Phenomenon,-,-,-,-,-,-
80,4,13,의견을,_,_,I-Phenomenon,-,-,-,-,-,-
81,4,14,모을,_,_,I-Phenomenon,-,-,-,-,-,-
82,4,15,것으로,_,_,I-Phenomenon,-,-,-,-,-,-
83,4,16,기대하지만,기대하다.v,Expectation,V,-,-,-,-,-,-
84,4,17,미국,_,_,O,-,-,-,-,-,-
85,4,18,스스로도,_,_,O,-,-,-,-,-,-
86,4,19,유가,_,_,O,-,-,-,-,-,-
87,4,20,인하를,_,_,O,-,-,-,-,-,-
88,4,21,위해,_,_,O,-,-,-,-,-,-
89,4,22,해야,_,_,O,-,-,-,-,-,-
90,4,23,할,_,_,O,-,-,-,-,-,-
91,4,24,일들이,_,_,O,-,-,-,-,-,-
92,4,25,적지,_,_,O,-,-,-,-,-,-
93,4,26,않다고,_,_,O,-,-,-,-,-,-
94,4,27,말했다.,_,_,O,-,-,-,-,-,-
95,5,0,즉,_,_,B-Goal,O,-,-,-,-,-
96,5,1,HIV-1,_,_,I-Goal,O,-,-,-,-,-
97,5,2,바이러스가,_,_,I-Goal,O,-,-,-,-,-
98,5,3,점막조직과,_,_,I-Goal,O,-,-,-,-,-
99,5,4,접촉할,_,_,I-Goal,O,-,-,-,-,-
100,5,5,때,_,_,I-Goal,O,-,-,-,-,-
101,5,6,나무가지,_,_,I-Goal,B-Source_emitter,-,-,-,-,-
102,5,7,세포,_,_,I-Goal,I-Source_emitter,-,-,-,-,-
103,5,8,표면에서,_,_,I-Goal,I-Source_emitter,-,-,-,-,-
104,5,9,배출된,배출하다.v,Emitting,I-Goal,V,-,-,-,-,-
105,5,10,DC-SIGN이라는,_,_,I-Goal,B-Emission,-,-,-,-,-
106,5,11,단백질에,_,_,I-Goal,I-Emission,-,-,-,-,-
107,5,12,들러붙게,_,_,I-Goal,O,-,-,-,-,-
108,5,13,되며,_,_,I-Goal,O,-,-,-,-,-
109,5,14,DC-SIGN은,_,_,I-Goal,O,-,-,-,-,-
110,5,15,이,_,_,I-Goal,O,-,-,-,-,-
111,5,16,세포를,_,_,I-Goal,O,-,-,-,-,-
112,5,17,전염시키지,_,_,I-Goal,O,-,-,-,-,-
113,5,18,않으면서,_,_,I-Goal,O,-,-,-,-,-
114,5,19,에이즈,_,_,I-Goal,O,-,-,-,-,-
115,5,20,바이러스가,_,_,I-Goal,O,-,-,-,-,-
116,5,21,림프선에,_,_,I-Goal,O,-,-,-,-,-
117,5,22,있는,_,_,I-Goal,O,-,-,-,-,-
118,5,23,면역세포까지,_,_,I-Goal,O,-,-,-,-,-
119,5,24,운반될,운반하다.v,Bringing,V,O,-,-,-,-,-
120,5,25,수,_,_,O,O,-,-,-,-,-
121,5,26,있도록,_,_,O,O,-,-,-,-,-
122,5,27,한다는,_,_,O,O,-,-,-,-,-
123,5,28,것이다.,_,_,O,O,-,-,-,-,-
124,6,0,그는,_,_,O,-,-,-,-,-,-
125,6,1,자신이,_,_,O,-,-,-,-,-,-
126,6,2,직면하고,_,_,O,-,-,-,-,-,-
127,6,3,있는,_,_,O,-,-,-,-,-,-
128,6,4,불명예의,_,_,O,-,-,-,-,-,-
129,6,5,배후에는,_,_,O,-,-,-,-,-,-
130,6,6,30,_,_,B-Time,-,-,-,-,-,-
131,6,7,여년간,_,_,I-Time,-,-,-,-,-,-
132,6,8,오스트리아를,_,_,B-Dependent_entity,-,-,-,-,-,-
133,6,9,통치한,통치하다.v,Being_in_control,V,-,-,-,-,-,-
134,6,10,좌익이,_,_,B-Controlling_entity,-,-,-,-,-,-
135,6,11,있다고,_,_,O,-,-,-,-,-,-
136,6,12,주장했다.,_,_,O,-,-,-,-,-,-
137,7,0,미국의,_,_,B-Experiencer,-,-,-,-,-,-
138,7,1,금리정책을,_,_,I-Experiencer,-,-,-,-,-,-
139,7,2,쥐고,_,_,I-Experiencer,-,-,-,-,-,-
140,7,3,주식시장에,_,_,I-Experiencer,-,-,-,-,-,-
141,7,4,막강한,_,_,I-Experiencer,-,-,-,-,-,-
142,7,5,영향력을,_,_,I-Experiencer,-,-,-,-,-,-
143,7,6,행사하고,_,_,I-Experiencer,-,-,-,-,-,-
144,7,7,있는,_,_,I-Experiencer,-,-,-,-,-,-
145,7,8,앨런,_,_,I-Experiencer,-,-,-,-,-,-
146,7,9,그린스펀,_,_,I-Experiencer,-,-,-,-,-,-
147,7,10,미연방준비제도이사회(FRB),_,_,I-Experiencer,-,-,-,-,-,-
148,7,11,의장이,_,_,I-Experiencer,-,-,-,-,-,-
149,7,12,다우존스,_,_,I-Experiencer,-,-,-,-,-,-
150,7,13,산업평균,_,_,I-Experiencer,-,-,-,-,-,-
151,7,14,주가지수가,_,_,I-Experiencer,-,-,-,-,-,-
152,7,15,현재의,_,_,I-Experiencer,-,-,-,-,-,-
153,7,16,절반,_,_,I-Experiencer,-,-,-,-,-,-
154,7,17,수준에도,_,_,I-Experiencer,-,-,-,-,-,-
155,7,18,미치지,_,_,I-Experiencer,-,-,-,-,-,-
156,7,19,못한,_,_,I-Experiencer,-,-,-,-,-,-
157,7,20,상황에서,_,_,I-Experiencer,-,-,-,-,-,-
158,7,21,이미,_,_,B-Time,-,-,-,-,-,-
159,7,22,거품증시를,_,_,B-Topic,-,-,-,-,-,-
160,7,23,우려하며,우려하다.v,Emotion_active,V,-,-,-,-,-,-
161,7,24,적어도,_,_,O,-,-,-,-,-,-
162,7,25,1,_,_,O,-,-,-,-,-,-
163,7,26,차례,_,_,O,-,-,-,-,-,-
164,7,27,이상,_,_,O,-,-,-,-,-,-
165,7,28,금리인상을,_,_,O,-,-,-,-,-,-
166,7,29,단행한,_,_,O,-,-,-,-,-,-
167,7,30,것으로,_,_,O,-,-,-,-,-,-
168,7,31,밝혀졌다.,_,_,O,-,-,-,-,-,-
169,8,0,국제통화기금(IMF),_,_,B-Speaker,-,-,-,-,-,-
170,8,1,총재,_,_,I-Speaker,-,-,-,-,-,-
171,8,2,후보,_,_,I-Speaker,-,-,-,-,-,-
172,8,3,경선에,_,_,I-Speaker,-,-,-,-,-,-
173,8,4,나섰던,_,_,I-Speaker,-,-,-,-,-,-
174,8,5,미국의,_,_,I-Speaker,-,-,-,-,-,-
175,8,6,스탠리,_,_,I-Speaker,-,-,-,-,-,-
176,8,7,피셔,_,_,I-Speaker,-,-,-,-,-,-
177,8,8,IMF,_,_,I-Speaker,-,-,-,-,-,-
178,8,9,부총재가,_,_,I-Speaker,-,-,-,-,-,-
179,8,10,16,_,_,B-Time,-,-,-,-,-,-
180,8,11,일,_,_,I-Time,-,-,-,-,-,-
181,8,12,후보,_,_,B-Message,-,-,-,-,-,-
182,8,13,사퇴를,_,_,I-Message,-,-,-,-,-,-
183,8,14,선언함에,선언하다.v,Statement,V,-,-,-,-,-,-
184,8,15,따라,_,_,O,-,-,-,-,-,-
185,8,16,호르스트,_,_,O,-,-,-,-,-,-
186,8,17,쾰러,_,_,O,-,-,-,-,-,-
187,8,18,유럽부흥개발은행(EBRD),_,_,O,-,-,-,-,-,-
188,8,19,총재의,_,_,O,-,-,-,-,-,-
189,8,20,IMF,_,_,O,-,-,-,-,-,-
190,8,21,신임,_,_,O,-,-,-,-,-,-
191,8,22,총재,_,_,O,-,-,-,-,-,-
192,8,23,선출이,_,_,O,-,-,-,-,-,-
193,8,24,확실시되고,_,_,O,-,-,-,-,-,-
194,8,25,있다.,_,_,O,-,-,-,-,-,-
195,9,0,가디언은,_,_,O,-,-,-,-,-,-
196,9,1,인터넷판,_,_,O,-,-,-,-,-,-
197,9,2,기사에서,_,_,O,-,-,-,-,-,-
198,9,3,공습,_,_,O,-,-,-,-,-,-
199,9,4,초기에,_,_,O,-,-,-,-,-,-
200,9,5,나토,_,_,O,-,-,-,-,-,-
201,9,6,내부의,_,_,O,-,-,-,-,-,-
202,9,7,한,_,_,O,-,-,-,-,-,-
203,9,8,첩자가,_,_,O,-,-,-,-,-,-
204,9,9,폭격계획을,_,_,O,-,-,-,-,-,-
205,9,10,사전에,_,_,O,-,-,-,-,-,-
206,9,11,세르비아측에,_,_,O,-,-,-,-,-,-
207,9,12,알려,_,_,O,-,-,-,-,-,-
208,9,13,줬다면서,_,_,O,-,-,-,-,-,-
209,9,14,세르비아,_,_,B-Agent,-,-,-,-,-,-
210,9,15,군대와,_,_,I-Agent,-,-,-,-,-,-
211,9,16,경찰이,_,_,I-Agent,-,-,-,-,-,-
212,9,17,폭격에,_,_,O,-,-,-,-,-,-
213,9,18,앞서,_,_,O,-,-,-,-,-,-
214,9,19,비교적,_,_,B-Manner,-,-,-,-,-,-
215,9,20,안전하게,_,_,B-Manner,-,-,-,-,-,-
216,9,21,병력과,_,_,B-Theme,-,-,-,-,-,-
217,9,22,장비를,_,_,I-Theme,-,-,-,-,-,-
218,9,23,이동시킬,이동하다.v,Cause_motion,V,-,-,-,-,-,-
219,9,24,수,_,_,O,-,-,-,-,-,-
220,9,25,있었다고,_,_,O,-,-,-,-,-,-
221,9,26,보도했다.,_,_,O,-,-,-,-,-,-
222,10,0,그는,_,_,O,-,-,-,-,-,-
223,10,1,과거,_,_,O,-,-,-,-,-,-
224,10,2,욤,_,_,O,-,-,-,-,-,-
225,10,3,키푸르,_,_,O,-,-,-,-,-,-
226,10,4,전쟁이나,_,_,O,-,-,-,-,-,-
227,10,5,이란,_,_,O,-,-,-,-,-,-
228,10,6,팔레비,_,_,O,-,-,-,-,-,-
229,10,7,왕정,_,_,O,-,-,-,-,-,-
230,10,8,붕괴로,_,_,O,-,-,-,-,-,-
231,10,9,인한,_,_,O,-,-,-,-,-,-
232,10,10,일시적인,_,_,O,-,-,-,-,-,-
233,10,11,석유공급,_,_,O,-,-,-,-,-,-
234,10,12,차질이,_,_,O,-,-,-,-,-,-
235,10,13,10,_,_,O,-,-,-,-,-,-
236,10,14,년,_,_,O,-,-,-,-,-,-
237,10,15,이상의,_,_,O,-,-,-,-,-,-
238,10,16,고유가,_,_,O,-,-,-,-,-,-
239,10,17,현상으로,_,_,O,-,-,-,-,-,-
240,10,18,이어졌음을,_,_,O,-,-,-,-,-,-
241,10,19,상기시키면서,_,_,O,-,-,-,-,-,-
242,10,20,이는,_,_,O,-,-,-,-,-,-
243,10,21,일부,_,_,O,-,-,-,-,-,-
244,10,22,산유국이,_,_,O,-,-,-,-,-,-
245,10,23,유가가,_,_,B-Item,-,-,-,-,-,-
246,10,24,오를,오르다.v,Change_position_on_a_scale,V,-,-,-,-,-,-
247,10,25,때,_,_,B-Time,-,-,-,-,-,-
248,10,26,생산량을,_,_,O,-,-,-,-,-,-
249,10,27,줄이고,_,_,O,-,-,-,-,-,-
250,10,28,단합을,_,_,O,-,-,-,-,-,-
251,10,29,과시할,_,_,O,-,-,-,-,-,-
252,10,30,가능성이,_,_,O,-,-,-,-,-,-
253,10,31,있음을,_,_,O,-,-,-,-,-,-
254,10,32,보여,_,_,O,-,-,-,-,-,-
255,10,33,주는,_,_,O,-,-,-,-,-,-
256,10,34,것이라고,_,_,O,-,-,-,-,-,-
257,10,35,밝혔다.,_,_,O,-,-,-,-,-,-
258,11,0,이같은,_,_,B-Attribute,O,-,-,-,-,-
259,11,1,항공사들의,_,_,I-Attribute,O,-,-,-,-,-
260,11,2,경쟁은,_,_,I-Attribute,O,-,-,-,-,-
261,11,3,한-중,_,_,B-Item,O,-,-,-,-,-
262,11,4,노선의,_,_,I-Item,O,-,-,-,-,-
263,11,5,항공기,_,_,I-Item,O,-,-,-,-,-
264,11,6,탑승인원이,_,_,I-Item,O,-,-,-,-,-
265,11,7,연평균,_,_,O,O,-,-,-,-,-
266,11,8,25,_,_,O,O,-,-,-,-,-
267,11,9,퍼센트,_,_,O,O,-,-,-,-,-
268,11,10,증가해,증가하다.v,Change_position_on_a_scale,V,O,-,-,-,-,-
269,11,11,오는,_,_,O,O,-,-,-,-,-
270,11,12,2004,_,_,O,O,-,-,-,-,-
271,11,13,년께,_,_,O,O,-,-,-,-,-
272,11,14,350,_,_,O,O,-,-,-,-,-
273,11,15,만명에,_,_,O,O,-,-,-,-,-
274,11,16,"도달,",_,_,O,O,-,-,-,-,-
275,11,17,한-일,_,_,O,O,-,-,-,-,-
276,11,18,노선을,_,_,O,O,-,-,-,-,-
277,11,19,제치고,_,_,O,O,-,-,-,-,-
278,11,20,제,_,_,O,B-Entity,-,-,-,-,-
279,11,21,1의,_,_,O,I-Entity,-,-,-,-,-
280,11,22,황금노선으로,_,_,O,I-Entity,-,-,-,-,-
281,11,23,부상할,부상하다.v,Coming_to_be,O,V,-,-,-,-,-
282,11,24,것으로,_,_,O,O,-,-,-,-,-
283,11,25,전망되기,_,_,O,O,-,-,-,-,-
284,11,26,때문이다.,_,_,O,O,-,-,-,-,-
285,12,0,짐바브웨,_,_,B-Invader,B-Leader,-,-,-,-,-
286,12,1,독립전쟁,_,_,I-Invader,I-Leader,-,-,-,-,-
287,12,2,참전,_,_,I-Invader,I-Leader,-,-,-,-,-
288,12,3,용사들이,_,_,I-Invader,I-Leader,-,-,-,-,-
289,12,4,주도하는,주도하다.v,Leadership,I-Invader,V,-,-,-,-,-
290,12,5,수천명의,_,_,I-Invader,B-Governed,-,-,-,-,-
291,12,6,시위대가,_,_,I-Invader,I-Governed,-,-,-,-,-
292,12,7,최근,_,_,B-Time,O,-,-,-,-,-
293,12,8,2,_,_,B-Land,O,-,-,-,-,-
294,12,9,백여곳의,_,_,I-Land,O,-,-,-,-,-
295,12,10,백인,_,_,I-Land,O,-,-,-,-,-
296,12,11,소유,_,_,I-Land,O,-,-,-,-,-
297,12,12,농장을,_,_,I-Land,O,-,-,-,-,-
298,12,13,대거,_,_,B-Manner,O,-,-,-,-,-
299,12,14,점거함에,점거하다.v,Invading,V,O,-,-,-,-,-
300,12,15,따라,_,_,O,O,-,-,-,-,-
301,12,16,인종,_,_,O,O,-,-,-,-,-
302,12,17,분규,_,_,O,O,-,-,-,-,-
303,12,18,양상으로,_,_,O,O,-,-,-,-,-
304,12,19,번지고,_,_,O,O,-,-,-,-,-
305,12,20,있는,_,_,O,O,-,-,-,-,-
306,12,21,짐바브웨,_,_,O,O,-,-,-,-,-
307,12,22,토지,_,_,O,O,-,-,-,-,-
308,12,23,분쟁,_,_,O,O,-,-,-,-,-
309,12,24,사태가,_,_,O,O,-,-,-,-,-
310,12,25,악화일로를,_,_,O,O,-,-,-,-,-
311,12,26,걷고,_,_,O,O,-,-,-,-,-
312,12,27,있다.,_,_,O,O,-,-,-,-,-
313,13,0,방위,_,_,B-Experiencer,-,-,-,-,-,-
314,13,1,전문가들은,_,_,I-Experiencer,-,-,-,-,-,-
315,13,2,그러나,_,_,O,-,-,-,-,-,-
316,13,3,대만은,_,_,B-Experiencer,-,-,-,-,-,-
317,13,4,대만의,_,_,B-Topic,-,-,-,-,-,-
318,13,5,방공망과,_,_,I-Topic,-,-,-,-,-,-
319,13,6,조기,_,_,I-Topic,-,-,-,-,-,-
320,13,7,경보체제를,_,_,I-Topic,-,-,-,-,-,-
321,13,8,마비시킬,_,_,I-Topic,-,-,-,-,-,-
322,13,9,수,_,_,I-Topic,-,-,-,-,-,-
323,13,10,있는,_,_,I-Topic,-,-,-,-,-,-
324,13,11,중국의,_,_,I-Topic,-,-,-,-,-,-
325,13,12,탄도미사일,_,_,I-Topic,-,-,-,-,-,-
326,13,13,배치로,_,_,I-Topic,-,-,-,-,-,-
327,13,14,이같은,_,_,I-Topic,-,-,-,-,-,-
328,13,15,현재의,_,_,I-Topic,-,-,-,-,-,-
329,13,16,군사적,_,_,I-Topic,-,-,-,-,-,-
330,13,17,우위가,_,_,I-Topic,-,-,-,-,-,-
331,13,18,사라질,_,_,I-Topic,-,-,-,-,-,-
332,13,19,수,_,_,I-Topic,-,-,-,-,-,-
333,13,20,있을,_,_,I-Topic,-,-,-,-,-,-
334,13,21,것으로,_,_,I-Topic,-,-,-,-,-,-
335,13,22,우려하고,우려하다.v,Emotion_active,V,-,-,-,-,-,-
336,13,23,있다고,_,_,O,-,-,-,-,-,-
337,13,24,말했다.,_,_,O,-,-,-,-,-,-
338,14,0,이,_,_,O,-,-,-,-,-,-
339,14,1,신문은,_,_,O,-,-,-,-,-,-
340,14,2,인터넷판,_,_,O,-,-,-,-,-,-
341,14,3,기사에서,_,_,O,-,-,-,-,-,-
342,14,4,미국의,_,_,O,-,-,-,-,-,-
343,14,5,한,_,_,O,-,-,-,-,-,-
344,14,6,비밀,_,_,O,-,-,-,-,-,-
345,14,7,보고서를,_,_,O,-,-,-,-,-,-
346,14,8,"인용,",_,_,O,-,-,-,-,-,-
347,14,9,유고,_,_,B-Theme,-,-,-,-,-,-
348,14,10,정부가,_,_,I-Theme,-,-,-,-,-,-
349,14,11,공습,_,_,B-Time,-,-,-,-,-,-
350,14,12,개시,_,_,I-Time,-,-,-,-,-,-
351,14,13,2,_,_,I-Time,-,-,-,-,-,-
352,14,14,주동안,_,_,I-Time,-,-,-,-,-,-
353,14,15,나토의,_,_,B-Useful_location,-,-,-,-,-,-
354,14,16,일일,_,_,I-Useful_location,-,-,-,-,-,-
355,14,17,공습,_,_,I-Useful_location,-,-,-,-,-,-
356,14,18,및,_,_,I-Useful_location,-,-,-,-,-,-
357,14,19,정찰,_,_,I-Useful_location,-,-,-,-,-,-
358,14,20,비행,_,_,I-Useful_location,-,-,-,-,-,-
359,14,21,명령에,_,_,I-Useful_location,-,-,-,-,-,-
360,14,22,미리,_,_,B-Time,-,-,-,-,-,-
361,14,23,접근할,접근하다.v,Having_or_lacking_access,V,-,-,-,-,-,-
362,14,24,수,_,_,O,-,-,-,-,-,-
363,14,25,있었다면서,_,_,O,-,-,-,-,-,-
364,14,26,공습계획은,_,_,O,-,-,-,-,-,-
365,14,27,물론,_,_,O,-,-,-,-,-,-
366,14,28,공습,_,_,O,-,-,-,-,-,-
367,14,29,목표물까지,_,_,O,-,-,-,-,-,-
368,14,30,파악할,_,_,O,-,-,-,-,-,-
369,14,31,수,_,_,O,-,-,-,-,-,-
370,14,32,있었다고,_,_,O,-,-,-,-,-,-
371,14,33,말했다.,_,_,O,-,-,-,-,-,-
372,15,0,신문은,_,_,O,-,-,-,-,-,-
373,15,1,이,_,_,O,-,-,-,-,-,-
374,15,2,접촉과,_,_,O,-,-,-,-,-,-
375,15,3,관련해,_,_,O,-,-,-,-,-,-
376,15,4,피아트가,_,_,B-Assessor,-,-,-,-,-,-
377,15,5,자사주를,_,_,B-Phenomenon,-,-,-,-,-,-
378,15,6,주당,_,_,B-Feature,-,-,-,-,-,-
379,15,7,45,_,_,I-Feature,-,-,-,-,-,-
380,15,8,유로로,_,_,I-Feature,-,-,-,-,-,-
381,15,9,평가하고,평가하다.v,Assessing,V,-,-,-,-,-,-
382,15,10,있는,_,_,O,-,-,-,-,-,-
383,15,11,데,_,_,O,-,-,-,-,-,-
384,15,12,반해,_,_,O,-,-,-,-,-,-
385,15,13,다임러크라이슬러의,_,_,O,-,-,-,-,-,-
386,15,14,계산은,_,_,O,-,-,-,-,-,-
387,15,15,38,_,_,O,-,-,-,-,-,-
388,15,16,유로로,_,_,O,-,-,-,-,-,-
389,15,17,나왔다고,_,_,O,-,-,-,-,-,-
390,15,18,전했다.,_,_,O,-,-,-,-,-,-
391,16,0,이로써,_,_,O,O,-,-,-,-,-
392,16,1,유럽연합(EU)과,_,_,O,O,-,-,-,-,-
393,16,2,"미국,",_,_,O,O,-,-,-,-,-
394,16,3,"러시아,",_,_,O,O,-,-,-,-,-
395,16,4,일본의,_,_,O,O,-,-,-,-,-
396,16,5,지지를,_,_,O,O,-,-,-,-,-
397,16,6,이미,_,_,O,O,-,-,-,-,-
398,16,7,확보한,_,_,O,O,-,-,-,-,-
399,16,8,쾰러,_,_,O,O,-,-,-,-,-
400,16,9,총재가,_,_,O,O,-,-,-,-,-
401,16,10,유일한,_,_,O,O,-,-,-,-,-
402,16,11,후보로,_,_,O,O,-,-,-,-,-
403,16,12,남게,_,_,O,O,-,-,-,-,-
404,16,13,돼,_,_,O,O,-,-,-,-,-
405,16,14,IMF,_,_,B-Variable,B-Role,-,-,-,-,-
406,16,15,신임,_,_,I-Variable,I-Role,-,-,-,-,-
407,16,16,총재로,_,_,I-Variable,I-Role,-,-,-,-,-
408,16,17,선출될,선출하다.v,Change_of_leadership,I-Variable,V,-,-,-,-,-
409,16,18,가능성이,_,_,I-Variable,O,-,-,-,-,-
410,16,19,한층,_,_,O,O,-,-,-,-,-
411,16,20,높아졌다.,높다.a,Position_on_a_scale,V,O,-,-,-,-,-
412,17,0,위세정보기술은,_,_,B-Grinder,-,-,-,-,-,-
413,17,1,인터넷,_,_,B-Patient,-,-,-,-,-,-
414,17,2,기반,_,_,I-Patient,-,-,-,-,-,-
415,17,3,기업들이,_,_,I-Patient,-,-,-,-,-,-
416,17,4,축적한,_,_,I-Patient,-,-,-,-,-,-
417,17,5,방대한,_,_,I-Patient,-,-,-,-,-,-
418,17,6,데이터를,_,_,I-Patient,-,-,-,-,-,-
419,17,7,"분석,",_,_,O,-,-,-,-,-,-
420,17,8,가공하여,가공하다.v,Grinding,V,-,-,-,-,-,-
421,17,9,의사결정에,_,_,O,-,-,-,-,-,-
422,17,10,반영하도록,_,_,O,-,-,-,-,-,-
423,17,11,돕는,_,_,O,-,-,-,-,-,-
424,17,12,인터넷,_,_,O,-,-,-,-,-,-
425,17,13,비즈니스,_,_,O,-,-,-,-,-,-
426,17,14,인텔리전스,_,_,O,-,-,-,-,-,-
427,17,15,사업을,_,_,O,-,-,-,-,-,-
428,17,16,주로,_,_,O,-,-,-,-,-,-
429,17,17,하고,_,_,O,-,-,-,-,-,-
430,17,18,있다.,_,_,O,-,-,-,-,-,-
431,18,0,미국은,_,_,O,-,-,-,-,-,-
432,18,1,지난,_,_,O,-,-,-,-,-,-
433,18,2,2,_,_,O,-,-,-,-,-,-
434,18,3,월,_,_,O,-,-,-,-,-,-
435,18,4,18,_,_,O,-,-,-,-,-,-
436,18,5,일,_,_,O,-,-,-,-,-,-
437,18,6,멕시코와,_,_,B-Exporting_area,-,-,-,-,-,-
438,18,7,캐나다를,_,_,I-Exporting_area,-,-,-,-,-,-
439,18,8,제외한,_,_,I-Exporting_area,-,-,-,-,-,-
440,18,9,모든,_,_,I-Exporting_area,-,-,-,-,-,-
441,18,10,국가로부터,_,_,I-Exporting_area,-,-,-,-,-,-
442,18,11,수입되는,수입하다.v,Importing,V,-,-,-,-,-,-
443,18,12,강관(Pipe,_,_,B-Goods,-,-,-,-,-,-
444,18,13,Line)에,_,_,I-Goods,-,-,-,-,-,-
